,Content
70,لازم ترد الجميل بعد ما تقريك ساعة التربية المدنية لازم انت تقريها زوج سوايع التربية الجنسية 🥵
71,اتشو شوية <:co6aka:1150410498987274310>
72,Frrr🫦
73,لمعاناة ربك
74,<@1218531500916477992>
75,<:BH_kill:1085950557786746972> <@1180615622145622117>
76,لوكان ماكانتش كنكس ثقيلة
77,10-0
78,But still
79,"5-1 
5-0"
80,Not bad
81,ربحت 2 قيم
82,مكنتش نلعب 💀
83,Net
84,<:Fox_Floppless_bruh:1147016599732244521>
85,<:emoji_102:1191547661355065454> <:emoji_102:1191547661355065454> <:emoji_102:1191547661355065454>
86,Opsie
87,شحال ربحت انا ؟
88,<@1218531500916477992>
89,8 ولا كثر<:UwU_GT:1165015885912744026>
90,Not bad
91,شلونج
92,shlong ?
93,<:checkengine:621867230531026945>
94,يب
95,great
96,<:sexye320:572474091249074188>
97,انا نروح بطارية 7 اتهلاو
98,راح جا لحاس من جديد
99,نيك ماتكم يا أهل الجنوب
100,<:NIGGA_omg:1150394296680329226>
101,..
102,Chkon yl3b valo
103,الصلام عليكم
104,Slm
105,# ثباحوووو <:emoji_102:1191547661355065454>
106,وعليكم السلام
107,كيراك
108,حمدلله وانت؟
109,والله الحمدلله
110,دوم
111,دوم ياماتك نشالله
112,🥰
113,كاش جديد
114,سيرفر ڨاع راقد
115,ايه مشي ناشط كيما بكري
116,ابعثلنا تصاور تع دنيا
117,صباح الانتصاب
118,...
119,...
120,ع
121,im batman
122,جابك ربي يا باتمان
123,عندنا هنا واحد لفيمبويز لازم تنقذ المدينة منهم
124,تهارد احويهم اقتلهم المهم برك الابادة
125,طفلا ولا ولد
126,باتمان راك كبير
127,باينة واش يكون لفيمبوي
128,اذا طفلا نروح ولد تان نروح
129,ايا ريقل عندك هادو زوج تهلا فيهم <@1298318639618855075> <@1004677837250371664>
130,؟؟؟
131,mo3tez your daed
132,معندكش حق فالتحدث
133,مش فيم بوي عندك نتا ثاني
134,علاه ؟
135,مالا واش <:confused_sherk:1150411388846604288>
136,You are trapped
137,لفيمبويز معندهم حق فوالو
138,طفل <:uncannycat:1152013915954352148>
139,مالا ريقل فوطو تاعك تبان مخنث <:gigachad:1150419236989186078>
140,انا مشي فيمبوي ياطوطا
141,مخنث🙃
142,مالا واش روني كولمان ؟ <:juan:1150418197581922344>
143,<:Dead_inside:1150410964659863592>
144,اذا بدلتها ينحولي الرتبة نتاعي
145,وااااااه ربي داير فوطو تاع فمبوي علجال رتبة <:uncannycat:1152013915954352148>
146,اسمك معتر بصح تصوير تع سلامى
147,واش نقولك ياخو يحووك و ميديرولكش هاك <:Dead_inside:1150410964659863592>
148,<:emoji_91:1188672059321094224> <:emoji_91:1188672059321094224>
149,"نو كنت دايرها من قبل يخي داروني اداري في سيرفر باتشو اذا نحيتها ينحوهالي <:Dead_inside:1150410964659863592> 
منطق كي زبي <:Dead_inside:1150410964659863592>"
150,(مضحك)
151,معليش ربي يطلق سراحك
152,انت من لخر قولنا اذا طفل ولا طفلة بيسك راك اذا طفل اعرف روحك مخنث تاع صح <:uncannycat:1152013915954352148>
153,ليسحق باتمان يعيط ايا تشاو عندي شغل مع دنيا
154,اوكي
155,اوكي ؟؟؟
156,Wtf
157,واش ؟
158,حبيبنا -100 IQ
159,واش جنسك يالزح
160,مقتلكش حل مسألة انقسام الذره
161,عبر طريق نحو حقيقة فلا مكان للسر لبطلنا روح أمينة تكتشف يقين ضوء لمع وسط مدينة رسم نداء لمنادينا حينا يبدو ويختفي حينا تلك إشارة بتمان
162,عندك خيارين A OR B
163,🏳️‍🌈
164,وشبيك باتمان <:emoji_104:1191547769664573450>
165,OR
166,بات مان بروو
167,قود بروو
168,<:KEKYou:1150418200027201566> <:GAY_reverse_card:1150410491605303428>
169,"ربي يصبرني على القوم الضالمين
يا زح ما نقدرش نبدل الفوطو علاه"
170,نجي نجي نشبعك خفافيش
171,لالا
172,نتا تخمم ف رتبة كرمتك تورح
173,على الأقل انت عندك سبب شوف المخنث هذا نقولو واش جنسك يبدأ يلاڨي <:uncannycat:1152013915954352148>
174,طحت مع جماعة مقودة
175,مخصكش خدمة عند بات
176,شحال شهرية ؟
177,احا
178,2ملاين راك فدزير فرع جلفة
179,T
180,
181,"تبانلي انت عندك IQ طفل فالحضانة 
انت 💙 ولا 🩷"
182,💓ty
183,T week
184,
185,ياو روح تعطي انت يماك متحبكش تحبني نحبك
186,hhhhhhh
187,سيد مخنث pro max
188,T month
189,
190,قط مواش يحلب بيغ رسبكت
191,Bat man
192,"T l97ab 
 نلقاك #1"
193,. ؟؟
194,يالزبدة مشي عليك تحسست ؟
195,.
196,راني على نقشينيو هذا <@1298318639618855075>
197,yes
198,عارفك
199,وين تعرفني <:cheekibreeki:1152015874446868510>
200,سر المهنة <:gigachad:1150419236989186078>
201,Can i get a kiss before bed <:emoji_101:1191547625883828325>
202,نقشينيو
203,اذا تعرفني مالا قولي شحال الطول تاعو لي يعرفو طولو غير 4 فوق الارض هادي <:confused_sherk:1150411388846604288>
204,ايا مليح راك عارف روحك
205,<:confused_sherk:1150411388846604288>
206,سون توسويس باتمان
207,باباك ويماك وgf وخوك ؟
208,...
209,معنديش خاوة و والديا لالا يالحمار <:uncannycat:1152013915954352148>
210,بات مان لازم يدخل روحو هاي اف بي اي اوبن دور
211,شكون يسحق gf اصلا ؟؟؟
212,نتا
213,مالا متعرفنيش <:Ee:1152015886773923850>
214,شكون 4 لي يعرفو طولو ؟
215,bat is  annoyed
216,راني نبريباري فالسنة <:Ee:1152015886773923850>
217,مش مسحق اضاعة وقت يا زح
218,مالا كي تكبر تتزوج بواحد ؟ <:uncannycat:1152013915954352148>
219,اوكي
220,XDDD
221,نخطب و نزوج على سنة الله و رسوله من نيتك ؟؟
222,و ل الله الحمد 0 gf ملي انولدت
223,جعت
224,<:gigachad:1150419236989186078>  عجبتني
225,تستحق ريسبيكت
226,جيبو فطبسي و بسمل
227,نتوما تحبو طوطا
228,ولله
229,فوطو حاجا و العقلية حاجا خرى
230,🤰🫵
231,روح تلعب
232,نيك باتشو
233,كون قلتها ثم نحوس على فرائس
234,
235,اسمع حاوزوني خاطش قلت عندي 8 سنين تحراش برك
236,عقلهم صغير
237,سيرفر مكتائب يازح
238,.
239,.
240,شكون يحذف في الميساجات يا جدك 💀
241,شيكور ختك
242,<@282859044593598464> راك تلحس فيه
243,هو بوت خدمتو هذي
244,وشنو باتشو تاع لقلاوي هذا
245,<:uncannycat:1152013915954352148>
246,<@282859044593598464> يدك فيه
247,Bro get shuted
248,وشنو باتشو هذا <:ChineseMan:1150410495434690630>
249,يدك فيه
250,يوتيوبر
251,يوتيوبر وسمو باتشو ؟؟؟ <:confused_sherk:1150411388846604288>
252,وي
253,YATNAK 🥵🥵🥵
254,مسلم فوق اللازم
255,وقيل نروح نتفرج
256,احم احم  <:Dead_inside:1150410964659863592>
257,لهينتاي ؟ <:RubbingHands:1150410501835202561>
258,ناه ph
259,<:ahegao:1150410734057033738>
260,The best ever
261,تفهم
262,واحد نقش يتيوبر
263,
264,💓
265,<:confused_sherk:1150411388846604288>
266,زبي انت كل ثانية تبدل فوطو تاعك <:uncannycat:1152013915954352148>
267,متعاندوش باتمان سيد مدبرس
268,مقتليش كيفاش أوضاع المدينة
269,باتمان سمعك
270,كنت مشغول بوتين طاحلو مروال روحتو رفتو
271,انا حكم جلفة نشالله نتوسع
272,مايعجبونيش
273,عندك برك من لقهويين تلقا اي قهوي ديريكت متحوسش تفهم تيري عليه بقنبلة
274,زبييييي وانا لي نبدل فوطو تاعي غير كي نشري سليب جديد <:uncannycat:1152013915954352148>
275,اره قهوين نسحقهم ف وحد امور
276,سلام عليكم
277,تلبس سليب ؟ حسبتلي تلبس كيلوطة تع ختك
278,تديرلهم recycling <:co6aka:1150410498987274310>
279,من لخر اوبيتو شكون عمك انا
280,وعليكم السلام
281,ونتا متخدمش
282,لالا لعزيز متحسبش الكل كيفك <:hank39:1152015910882791534>
283,اااااا
284,ايااااه
285,ماعنديش ختي ( نيك حياتك)
286,اين رد
287,rawnd 1
288,عندك ..... <:emoji_89:1188671634509398046>
289,1-1
290,ماعنديش
291,بلع قود نتا
292,و كيلوطات لي في خزانتك تعمن ؟ <:Ee:1152015886773923850>
293,.
294,ااي راك مع بات نديك وين تبات
295,متقوليش برك انت هو سارق لكيلوطات لي كانو يحوسو عليه من عام جدي
296,كنت تسرق كيلوطات لعجايز ؟
297,وقيل
298,ااا مكاش سريقا معيا سرق كيلوطات راني جاي
299,😯.
300,طلع يدك نيك رجليك
301,متخافش انا منقذفش المحصنات الغافلات كيفك
302,اوكي
303,⚧️.
304,اااي متقوليش نتا ولد برك
305,لالا
306,المهم هاك عشرالاف روح اشريلك بيها سليب جديد عندك تغفلني و شريهم كيلوطات  ولي راجل شوية <:DK_Expand_Dong:1150410899581050950>
307,اااي اخ هذي بنت
308,فالحالتين اسوء من بعض
309,ضرك يقولك لالا
310,صح
311,مهم مكاش الوان ف بلادي ليتلون نلونو
312,مكانش فوطو تصلح
313,اذا مراكش راجل  ولا طفلة نصنفوك مع اليهود <:SU_NOICE:1152013869057847326>
314,That's ma boy
315,نبعتلك تصوير شابة
316,ياخو اعلبالك بلي لبنات فهذا سيرفر يحاوزوهم
317,Gotcha
318,ااي صح مكاش بنات
319,لن اقلق
320,is back
321,إذا راكي طفلة و دخلتي هنا بارادتك راكي قحبة <:crazyvegeta73:1150419224922165291>
322,كلافيي تاع نم
323,
324,اوكي
325,قحبة
326,<:cum:1152013788653031434>
327,شيخ عيسي
328,ابعتلها الشيخ الميساوي لباباها يقولو بنتك واش راهي دير
329,انا وش ندير
330,Shut it
331,خبزة صعيبة
332,سلام
333,ديرها لختك راهي توحوح مصبح
334,Help her stepbrother <@855352776611594261> 🤑
335,باينا بلي مجربة
336,معنديش اخت بصح نعتابرك كي ختي ارواحي قمبعي لخوك
337,مكاش لعفن في بلادي
338,وختك مجربة ؟
339,نعاونك تركبيها
340,نيك حتشونك يانقش
341,راح ينيك باباها ميسي داعشي ويزيد يدي معاه شيخ اوبامة
342,ااي بتمان معندوش ختو
343,<:DK_Expand_Dong:1150410899581050950>  I will
344,ڨاع ماعنكمش ختكم درك ؟
345,بلع
346,بتمان ينيك لعيباد لي كي مانتي ويجب فروع
347,علاه ؟
348,الفعل هذا ينطبق لمن يمتلك حتشون يا سيدة بو مفتوح <:KEKYou:1150418200027201566>
349,ممنوع السؤال وش قلنا البارح
350,اوكي
351,كون جات عندي ختي متدخلش سيرفر هوفا
352,<:gigachad:1150419236989186078>
353,كون جا عندي ختي كيما نتي كون راهي معاك فناررر
354,جوردن عجبتني <:gigachad:1150419236989186078>
355,مقود زعما ؟؟
356,<:branco3tromlei84:1152015859955531866>
357,
358,لالا برك انا مشي كيف باباك و خوك يخلوك تدخلي سيرفرات كيما هادو <:Ee:1152015886773923850>
359,انا مكان مدخلني
360,ايااااااه وا ش دلهاا
361,مام انت لعزيز راك كثرت على ما وصاوك المره هادي عندك زوج غرامات
362,وانا كيفاه
363,يربك بات مان
364,انت هو لي تعطي الغرامات حامي المدينة <:DK_Expand_Dong:1150410899581050950>
365,اااوه نتا لازم خدمة معنا
366,لعزيز ياخو نتا فتت الغرامات عليك ديون من كثرة الرجولة
367,متقولش ياربك
368,يسلمك لعزيز مي انا روتريتي صفيت لمدينة
369,وانا واش ندير
370,راح نروح نخدم 24/24 ساعة كشما نحاول نسدد الغرامات بيسك انا منمدش يدي <:gigachad:1150419236989186078>
371,جلفة كانت سخونة زدت سخنتها
372,dhman💀
373,يالرب نورمال ؟
374,بيسك راك تنادي فاالله 🙂
375,انا صح بات مي  نخف من دحمان
376,برذر دحمان
377,ڨعرتوها خلاص
378,كشغل هجين <:branco3tromlei84:1152015859955531866>
379,الله اعلم
380,ختي نهدر معاك بكل ادب متروحيش تقودي
381,يا ختي واش نقولك ننصحك تخرجي تبقاي بينك و بين ربي مرفوع عليا القلم منك 🗿
382,عندو حق
383,انا بات مان و منضمنلكش
384,.
385,زعما نسلكك ولاه ناكلك بيه
386,ضرك هادي بنادم تهدر معاها
387,نص كلامك مافهمتوش لازمله شرح
388,تبانلي نعيطو لقويطس عندو IQ اقرب ليها
389,عليها قتلك ال IQ تاعي هارب عليك
390,شكون لقويطس ؟
391,وين هرب ؟
392,خوتي تنصحوني نروح نعتقلها فيما يردي الله
393,هعهعع
394,محبوب الجماهير
395,يردي الله
396,<@1195134511546105958> قاعد تعس؟
397,يرضي + روح لا عليك
398,نجي تشبعي خفافيش
399,باتمان تاعو مشي مربي
400,نربيه فيك
401,كتيبة خفافيش الرحمة ؟ <:NIGGA_omg:1150394296680329226>
402,Ayoooooo درت عليا
403,مجيبيش ولد جيب تمساح
404,# عبر طريق نحو حقيقة فلا مكان للسر لبطلنا روح أمينة تكتشف يقين ضوء لمع وسط مدينة رسم نداء لمنادينا حينا يبدو ويختفي حينا تلك إشارة بات مان 🕸️
405,نيران صديقة ياو
406,اااا لالا
407,يفكرني بواحد النقش وسمو Evan
408,متشيتليش صحا
409,اسمو نقش ؟
410,<@1195134511546105958> ميكونش ايفان زعما ؟
411,هذا اسمك يحمرا
412,شكون ؟
413,لالا لقب اكتسبه حسب الأفعال كيما انتي ديتي لقب قحبة
414,السلام عليكم
415,قحبة شريفة
416,تغفل يخرجلك فمبوي
417,ونتا ديت لقب راس طوطا
418,وعليكم السلام
419,واش راكم
420,على راسي
421,وعليكم السلام ايها الفيمبوي
422,ااي سقسيت بتمان باشدخلتي
423,وشنو على راسك ؟
424,<:confused_sherk:1150411388846604288>
425,فخامتك <:juan:1150418197581922344>
426,مافهمتش ؟
427,ااااا
428,كون غير متفهميش
429,علاه ؟
430,"يالزح IQ -999 
ختي هلكك التكفات !!!"
431,بلعقل عليها شوية
432,وشنو التكفات ؟
433,صح حبسي شوية
434,حتى انا ما فهمتش بكل صراحة
435,نجي نعلمك
436,باطل
437,تهدرو بلالغاز نتو ؟
438,Same IQ LEVEL
439,ريكاردو نية حسنة
440,تيليفون راهو 2
441,بت مان ميحلبش
442,اكتشفت اكتشاف جديد
443,روح شارجيه
444,لفيمبوي عندو نفس ذكاء الانثى <:emoji_97:1188675775436701816>
445,روحو تشارجو بين زوج
446,كيفاه عرفت !
447,<:NIGGA_omg:1150394296680329226>
448,Oooooh
449,
450,oooh no
451,استنتاج من الحنكة
452,الحقيقة المره
453,عالم
454,وشنو لحنكة قصدك لحنة ؟
455,نتي متعرفي واله
456,وو
457,ختي شحال فعمرك <:Dead_inside:1150410964659863592>
458,اصبر اصبر شحال فعمرها ؟
459,بديت نخاف
460,راني نڨسر
461,لالاهذي just girl
462,الحنكة هي كي تولي تفهم في حاجة معينة ياسر
463,مثل نقلك انا محنك سيارات
464,شكرا علا توضيح
465,وذني بدات ترن بنغمة لاصونات تاع التدخل السريع
466,اعلبالي
467,اوكي
468,ننجي
469,عفوا
470,كاذبة لعينة☠️🔪
471,بات مان ميحبش لعفو بصح شكراا
472,علاه؟
473,بات مان نسقسيك
474,اصبر اصبر الحنكة تاعي تقولي بلي مفهمتش و كي جيت نسقسي على عمرها حبت تليكيديني و تقولي نحرش باش متجاوبش <:emoji_97:1188675775436701816>
475,واش
476,كيفاه صار عندك هذا الجسم المعضل
477,مكانش يبنيط كيفك
478,تعريفيه دحمان
479,واش راك تخرى ؟
480,لالاهذ سرر
481,يا حسراه ها قول
482,معليش اثبتلي بلي راني غلطان و قولي واش معناه كلمة التكفات <:767993656816304148:1150411534615453696>
483,سر مهنة اخت
484,عندي استفسار
485,معنتها فريت
486,اوكي ماعليهش يا اخي
487,لخاوة كاش واحد ينحيلها تيليفون تاع خوها تبانلي قاصره  متفوتش 9 سنين
488,لقد اعجبني تدخلك معندكش خدمة مع بات مان
489,اي واحد يعرف صاحبو عندو ختو صغيره يعيطلو
490,ماعنديش خويا
491,fbi
492,open d door
493,راني فهمت وش معناها تكفات
494,من جوجل
495,FBI OPEN UP
496,طحتي من عيني
497,ياي
498,حبس التبنييط يا فيمبوي
499,هم فيمبوي
500,مانيش نبنيط
501,كملت 30د بدون تطياح
502,Same for you
503,Congratulations
504,sigma
505,<@855352776611594261>
506,ريكاردو فدريكو
507,تبنييط مشي تطياح 🗿
508,وشنو دعاء ؟
509,هو صح منكذبش كنت نبنيط بصح راني قاعد نخليه
510,تحدي 90 يوم بلا تبنييط
511,معليش اوصفلي هذا الفعل بكلمة من غير تبنييط
512,تبنيط على راجل نتا ؟
513,قذف
514,اصبر ....
515,خلاص بنات خلاص
516,دوك نزعف نعشي متعشي بيكم
517,نضرية إذا ضربناهالك في الضلمة جامي لتشوف النعمة
518,القذف نتيجة للتبنييط مشي اسم الفعل
519,سلام عليكم
520,اذا ضربتلي بيبا  مشي سيبا
521,وش اسمو بلعربية ؟
522,قتلكم IQ فقمة
523,وعليكم السلام
524,وعليكم السلام ورحمه الله
525,بتمات ميردش. سلام
526,<@1218531500916477992> ياخو راهو يهدر عليك
527,الاستمناء <:uncannycat:1152013915954352148>
528,علبالو
529,بات مان سلام بحد ذاته
530,اسم فخم
531,مالا يعجبك لقبك ( قحبة ) congratulations
532,اسمي معجبكش
533,مراكش دحمان
534,صوت لمع وسط مدينة لخت
535,راك دصرتني بزاف روح تعطي
536,طرينت عندو
537,خدمتك سيستر
538,شحال نخلص ؟
539,اواه تخلصي نتي. نعطيك ربع خفافيش نجي
540,روح تعطي
541,عندي وحد يدير حديد
542,راجل علا خوك
543,يخدم لحديد ؟
544,عندو لزبدو
545,عندو15
546,عندو زبدة ؟؟؟
547,تاع بتمان هو لي قتل مايكل
548,شكون مايكل ؟
549,<:Dead_inside:1150410964659863592>
550,واحد وليد حومت تماسيح شركة منفسة
551,اوكي
552,ينفسو فيا ميعرفونيش بلي فخمة
553,باتمان هو لخير تبون رأئيس
554,علاه مشي انا ؟
555,عطيتك خدمة محبيتيش
556,2ملاين لشهر
557,لالا صحا
558,<:ch:1193639751257960571> <:Gunpoint:1193639929671077959>
559,sba7 el khir
560,باتمان عندو ديما ليل
561,ياخو قلتلو ماحبش يفهم
562,# ثباحووووو<:emoji_102:1191547661355065454>
563,اااي ستفي روحك
564,ايه صح علاه في كرتون تع باتمان سما تجي حمرا ؟
565,لخاج انا منحبش سما زرقااا
566,خليك منو <:37706234f04f5e77eb58146ecf9f6af3:1255178985302917160>
567,مكتئب لكرتون
568,KHAWTIIIIII 3NDI PC LELBI333
569,انا هو اكتئاب
570,شكون ؟؟
571,بات مان يدي باطل
572,طوكسيك
573,حبس تمنييك
574,AK 3LABALK WESH TEDI BATELLL
575,ااي متنسيش روحك
576,ختك🙃
577,LALAAAAA AK 3LABALKKKK
578,MAT7CHEMCH 9OLHOUM
579,علاه تهدر بخط كبير ؟
580,متزدنيش مشمشتك زعيم نتا
581,يهدر بل بسي
582,بسي
583,PSQ TILIFOUN M9WD
584,تلفون منك صح
585,اوه
586,khlas rani riglitou
587,srx 3ndi pc lelbi3
588,i5 6em
589,8ram
590,شحال
591,WACH YA5O KACHMA 5SK ?
592,37 36
593,NDIH BATL ANA YA5O
594,OUI KHASNI
595,AAAA BATL MDILO
596,WACH 5SK RANI HNA
597,MDILO
598,MNSLKCH
599,RANI 3YANN
600,KHASNI DRAHM W ..
601,W ??
602,RBI YGIBB
603,WACH DIR B DRAHM !
604,WALO NGSER
605,BESH NCHRI TILIFOUN
606,WACH DHLKK
607,TZID TDSRNI NIKK
608,3LH AK TYE7 ??
609,YEKHI TO9BA
610,3ND TOTA
611,WACH DIR B TILIFHON ? TCHOF PORN HUP !
612,*PORN HUB
613,YCHFFK TA3TI
614,WACH DHLKK
615,+ MANCHOFCH PORNO YA
616,AK TCHOFFF
617,صباح الخير شلونج <:emoji_108:1197267246662295592>
618,BAT MAN YZ3FF
619,YNKHA 9HBA
620,RO7 CHOF NAME TA3O
621,IM SOORY
622,NCHOF TO9BA TA3K
623,GOOOOOOD
624,<:confused_sherk:1150411388846604288>
625,ZA3IMM
626,bat is sigma bro
627,السلام عليكم
628,وعليكم السلام فان جاستن بيبر
629,jastn biberr
630,PDD
631,<:uncannycat:1152013915954352148>
632,DPP
633,يشبه للفقمة
634,9BAYLI HINKEN
635,راكي بديتي تكبري ف عين باتمان
636,<:co6aka:1150410498987274310>
637,علاه باتمان عينيه بيوضا ؟
638,idc
639,جاستن عندي وحد خير من ديدي
640,يازح نتا كيفاه فان تاعو ؟
641,عينها.     علا حسب طقس
642,ياخو منيش حاب نخسر الهدرة جزاك الله خيرا
643,منيش فان تاعو
644,عندب حل خرج ققوود
645,علاه راك داير تصويرتو ؟
646,برو
647,منيش لاتيلك
648,gay
649,jsk
650,لتي ل ديدي
651,ابعتلي شعار تع امازيغ
652,شكون دنيا
653,ⵣ
654,Idk نتا راك كاتب عندي تصاور دنيا
655,Ty
656,ايت جاستن
657,<:emoji_89:1188671634509398046>
658,ذلجاستن
659,جماعة اضحكولو
660,نقصد عندي كامل تصاور لي حابهم
661,ابعتلي تصاور تع فيمبوي
662,<:uncannycat:1152013915954352148>
663,ااي معرفتنيش وقيل
664,واش بيك موسوس !؟
665,باتمان
666,<:emoji_107:1191548658336940132>
667,<:cum:1152013788653031434>
668,ااا ياربك ذراري
669,واليد راهو حدايا
670,اااخرج اخرج
671,واليد نيك روحك
672,<:767993656816304148:1150411534615453696>
673,ينمي
674,اسمو واليد ؟
675,لا يزح نقصد العم راهو حدايا
676,ايه
677,وسمك نتي
678,.
679,وسمك
680,La zone ma7koma
681,ياعم نيك روحك
682,بات مان مينفسش عيباد
683,ينمي
684,وش اسمو هو ؟؟
685,شكون
686,عمك ؟
687,جواب
688,وبلع
689,ايا تهلاو في رواحكم <:emoji_101:1191547625883828325>
690,عبد رحيم
691,روح ل ديدي ااا باي
692,# عبد راحيم نيك حتشونك
693,هذا مشي بات مان هذا بات كفات
694,😂ههههه
695,خخخخ عرفتك دي ديرها مسموهش رحيم
696,وشنو كفات ؟
697,نجيبو عليك
698,بنياط
699,مخنث دنمي
700,وشنو بنياط ؟
701,نجيبو عليك نمشطلك بيه شعرك
702,يجيبو
703,روح نبعتهولك للبريفب
704,مخنث
705,واش يجيب ؟
706,الطعام للفقراء
707,ياروح قود ياخو
708,علاه ؟
709,نيك.     حتشون يماك
710,الواحد مضربوش فيك خطرة زوج خلاص
711,عندك نتا عندك حتشون
712,متبداش تقيم زك روحكك
713,قلوة تع زبي
714,منطيحش بل يمات
715,عندك زويز وحتشو ن اخ
716,<@1299642182092718128>
717,نيك حتشون ختك لعطيا
718,ههههه
719,نم
720,روح اربي روح
721,روح اتخايل في باتمان بعيد
722,نتا باين قاي تبع جاستن
723,معلاباكش بيها ؟
724,جاستن بلع
725,PDD
726,PDD
727,"<@1299642182092718128> <@1055946289055023144> 
# خلاص حبسو"
728,🫡
729,# تصالحو وبوسو بعضاكم
730,يدي حسنات
731,وين تسكن نجي حتشون يمات خالت ختك نيكهولك
732,راني رجعت
733,واش راكم
734,نبوسو بصح ملور
735,نكبضك حتشو جادتك نيكو
736,لالا سلم عليه وقولو سمحلي خويا وزيدلو تباوسو مشاورب
737,نطيحو بيبيا كيما ديدي
738,نسيها فيك🙃🙃🙃💀
739,<:4pepofucku:1118327433414836315>  ريحو عاقلين
740,لالا صحا
741,وشبيهم اصلا؟
742,ريكاردو فتاة حسنة 💀
743,راهم ڨاع يشبهو للفقمة
744,راني طفل
745,ياو ياو ياو هديي
746,رهم يدبزو يشتمو امهات
747,<:ChineseMan:1150410495434690630>
748,واش ديدي شبعك بذور فقاعك جاي تتڨوعر علينا هنا
749,اي نتا وقلوتي كيف كيف
750,"الله يرحمها 
زيد ممنوع طيح باليمات
ياخو راه يطيح باليمات <@1142540508183416883>"
751,علاش راهم يدابزو
752,والله منحب نطيح
753,لعبلي عليه
754,<:KEKYou:1150418200027201566>
755,منعرف <a:7peplick:1068529865415987251>
756,داير تصويرا تع جاستن بيبر باتمان ماعجبوش لحال قاعد يقولو PDD
757,راح تدي ميوت سمانة
758,احترم نفسك
759,نحي جاستت
760,ن
761,Okay sr daddy
762,على زال هاذي قلبو السيرفر معركة؟
763,ايا راك طيحتلي واش استفدت دروك
764,سمعنا لكثير من لامهات
765,مشي علا هاذي
766,😂💀💀
767,<@1004677837250371664> <:Dead_inside:1150410964659863592>
768,
769,هو خسر الهدرة :3
770,فقمة كن كيف حالك <:hank39:1152015910882791534>
771,؟
772,خلاص خلاص روح
773,فقمه ياه
774,Lz3ZIZ
775,منيح وانت
776,والو غي طاقيتك <:emoji_90:1188671864160137226>
777,شيكور
778,<:gigachad:1150419236989186078>
779,🤝
780,والله بخير الحمدلله
781,# <@1283283339155083287>_chan <:emoji_101:1191547625883828325>
782,BIG RECPICT
783,...
784,تفاهمو
785,يسطا هو فاز علي روم مبارح <:4pepoworrypat:1118649623708454944>
786,ريكاردو
787,<:sh:1152016071147147319>
788,جيب لي حقي
789,<@1214967653370691624>
790,وي
791,...
792,# ناس ماتعرفش تفرق بين طاكوس وشورما راح ختارعو طالوس
793,Justin X 9baili  = ديدي يحرق علجالك USA
794,علاه سمت روحك هك
795,<@1214967653370691624> ياخو
796,يب خبرني 🗿
797,I 💓 u <:emoji_102:1191547661355065454>
798,سيت نفهمو
799,جيب لي حقي
800,اهنتنا يا وسخ
801,<:RTN_Floppachad:1023214051733557329>
802,Justin with a giant ass
803,مهم
804,بلع
